log level: INFO
Words to send: 2689
connecting...
will reset reader state on connect
will start inventory on connect
using antennas: (1,)
Read EPC: 13370302697226, 2
Read EPC: 13370302697226, 4
Read EPC: 13370302697226, 4
Read EPC: 13370302697226, 4
Read EPC: 133703026974eb, 4
Next block: 03026976e9(452/2689) --- Time elapsed: 117.239 secs
Read EPC: 133703026974eb, 4
Read EPC: 133703026974eb, 4
Read EPC: 133703026974eb, 4
Read EPC: 133703026974eb, 4
Read EPC: 133703026974eb, 4
Read EPC: 133703026974eb, 3
Read EPC: 133703026974eb, 4
Read EPC: 133703026974eb, 4
Read EPC: 133703026974eb, 4
Read EPC: 133703026974eb, 4
Read EPC: 133703026974eb, 4
Read EPC: 133703026974eb, 4
Read EPC: 133703026974eb, 4
Read EPC: 133703026974eb, 4
Read EPC: 133703026976e9, 4
Next block: 030269783e(453/2689) --- Time elapsed: 117.489 secs
Read EPC: 133703026976e9, 4
Read EPC: 133703026976e9, 4
Read EPC: 133703026976e9, 4
Read EPC: 133703026976e9, 4
Read EPC: 133703026976e9, 2
Read EPC: 133703026976e9, 4
Read EPC: 133703026976e9, 4
Read EPC: 133703026976e9, 4
Read EPC: 133703026976e9, 4
Read EPC: 133703026976e9, 4
Read EPC: 133703026976e9, 4
Read EPC: 133703026976e9, 4
Read EPC: 133703026976e9, 4
Read EPC: 133703026976e9, 4
Read EPC: 1337030269783e, 4
Next block: 0302697a2e(454/2689) --- Time elapsed: 117.749 secs
Read EPC: 1337030269783e, 4
Read EPC: 1337030269783e, 4
Read EPC: 1337030269783e, 4
Read EPC: 1337030269783e, 4
Read EPC: 1337030269783e, 4
Read EPC: 1337030269783e, 4
Read EPC: 1337030269783e, 4
Read EPC: 1337030269783e, 4
Read EPC: 1337030269783e, 4
Read EPC: 1337030269783e, 4
Read EPC: 1337030269783e, 4
Read EPC: 1337030269783e, 4
Read EPC: 1337030269783e, 4
Read EPC: 1337030269783e, 4
Read EPC: 13370302697a2e, 4
Next block: 0302697c30(455/2689) --- Time elapsed: 117.999 secs
Read EPC: 13370302697a2e, 4
Read EPC: 13370302697a2e, 4
Read EPC: 13370302697a2e, 4
Read EPC: 13370302697a2e, 4
Read EPC: 13370302697a2e, 2
Read EPC: 13370302697a2e, 4
Read EPC: 13370302697a2e, 4
Read EPC: 13370302697a2e, 3
Read EPC: 13370302697a2e, 4
Read EPC: 13370302697a2e, 3
Read EPC: 13370302697a2e, 4
Read EPC: 13370302697a2e, 2
Read EPC: 13370302697a2e, 4
Read EPC: 13370302697c30, 1
Next block: 0302697e3b(456/2689) --- Time elapsed: 118.269 secs
Read EPC: 13370302697c30, 4
Read EPC: 13370302697c30, 4
Read EPC: 13370302697c30, 4
Read EPC: 13370302697c30, 3
Read EPC: 13370302697c30, 4
Read EPC: 13370302697c30, 4
Read EPC: 13370302697c30, 4
Read EPC: 13370302697c30, 1
Read EPC: 13370302697c30, 3
Read EPC: 13370302697c30, 4
Read EPC: 13370302697e3b, 4
Next block: 0302698009(457/2689) --- Time elapsed: 118.519 secs
Read EPC: 13370302697e3b, 4
Read EPC: 13370302697e3b, 4
Read EPC: 13370302697e3b, 0
Read EPC: 13370302697e3b, 4
Read EPC: 13370302697e3b, 4
Read EPC: 13370302697e3b, 4
Read EPC: 13370302697e3b, 4
Read EPC: 13370302697e3b, 4
Read EPC: 13370302697e3b, 4
Read EPC: 13370302697e3b, 4
Read EPC: 13370302697e3b, 4
Read EPC: 13370302697e3b, 4
Read EPC: 13370302697e3b, 4
Read EPC: 13370302697e3b, 4
Read EPC: 13370302698009, 4
Next block: 03026982fa(458/2689) --- Time elapsed: 118.789 secs
Read EPC: 13370302698009, 4
Read EPC: 13370302698009, 4
Read EPC: 13370302698009, 4
Read EPC: 13370302698009, 4
Read EPC: 13370302698009, 4
Read EPC: 13370302698009, 4
Read EPC: 13370302698009, 4
Read EPC: 13370302698009, 4
Read EPC: 13370302698009, 4
Read EPC: 13370302698009, 4
Read EPC: 13370302698009, 4
Read EPC: 13370302698009, 4
Read EPC: 13370302698009, 1
Read EPC: 13370302698009, 4
Read EPC: 133703026982fa, 3
Next block: 03026984f7(459/2689) --- Time elapsed: 119.039 secs
Read EPC: 133703026982fa, 4
Read EPC: 133703026982fa, 4
Read EPC: 133703026982fa, 4
Read EPC: 133703026982fa, 4
Read EPC: 133703026982fa, 4
Read EPC: 133703026982fa, 2
Read EPC: 133703026982fa, 2
Read EPC: 133703026982fa, 4
Read EPC: 133703026982fa, 4
Read EPC: 133703026982fa, 3
Read EPC: 133703026982fa, 4
Read EPC: 133703026984f7, 4
Next block: 03026986e1(460/2689) --- Time elapsed: 119.319 secs
Read EPC: 133703026984f7, 4
Read EPC: 133703026984f7, 4
Read EPC: 133703026984f7, 4
Read EPC: 133703026984f7, 4
Read EPC: 133703026984f7, 4
Read EPC: 133703026984f7, 1
Read EPC: 133703026984f7, 4
Read EPC: 133703026984f7, 4
Read EPC: 133703026984f7, 4
Read EPC: 133703026984f7, 4
Read EPC: 133703026984f7, 4
Read EPC: 133703026984f7, 4
Read EPC: 133703026984f7, 4
Read EPC: 133703026984f7, 1
Read EPC: 133703026984f7, 4
Read EPC: 133703026986e1, 4
Next block: 030269883c(461/2689) --- Time elapsed: 119.575 secs
Read EPC: 133703026986e1, 4
Read EPC: 133703026986e1, 4
Read EPC: 133703026986e1, 4
Read EPC: 133703026986e1, 0
Read EPC: 133703026986e1, 4
Read EPC: 133703026986e1, 4
Read EPC: 133703026986e1, 4
Read EPC: 133703026986e1, 4
Read EPC: 133703026986e1, 4
Read EPC: 133703026986e1, 4
Read EPC: 133703026986e1, 4
Read EPC: 133703026986e1, 1
Read EPC: 133703026986e1, 4
Read EPC: 1337030269883c, 2
Next block: 0302698a3e(462/2689) --- Time elapsed: 119.829 secs
Read EPC: 1337030269883c, 4
Read EPC: 1337030269883c, 4
Read EPC: 1337030269883c, 4
Read EPC: 1337030269883c, 4
Read EPC: 1337030269883c, 4
Read EPC: 1337030269883c, 4
Read EPC: 1337030269883c, 4
Read EPC: 1337030269883c, 4
Read EPC: 1337030269883c, 4
Read EPC: 1337030269883c, 4
Read EPC: 1337030269883c, 4
Read EPC: 1337030269883c, 4
Read EPC: 1337030269883c, 4
Read EPC: 1337030269883c, 4
Read EPC: 13370302698a3e, 4
Next block: 0302698c40(463/2689) --- Time elapsed: 120.079 secs
Read EPC: 13370302698a3e, 4
Read EPC: 13370302698a3e, 4
Read EPC: 13370302698a3e, 4
Read EPC: 13370302698a3e, 4
Read EPC: 13370302698a3e, 4
Read EPC: 13370302698a3e, 4
Read EPC: 13370302698a3e, 4
Read EPC: 13370302698a3e, 4
Read EPC: 13370302698a3e, 4
Read EPC: 13370302698a3e, 4
Read EPC: 13370302698a3e, 4
Read EPC: 13370302698a3e, 4
Read EPC: 13370302698a3e, 2
Read EPC: 13370302698a3e, 1
Read EPC: 13370302698a3e, 4
Read EPC: 13370302698c40, 4
Next block: 0302698e42(464/2689) --- Time elapsed: 120.355 secs
Read EPC: 13370302698c40, 4
Read EPC: 13370302698c40, 1
Read EPC: 13370302698c40, 4
Read EPC: 13370302698c40, 4
Read EPC: 13370302698c40, 4
Read EPC: 13370302698c40, 4
Read EPC: 13370302698c40, 4
Read EPC: 13370302698c40, 4
Read EPC: 13370302698c40, 4
Read EPC: 13370302698c40, 4
Read EPC: 13370302698c40, 4
Read EPC: 13370302698c40, 4
Read EPC: 13370302698c40, 4
Read EPC: 13370302698e42, 4
Next block: 0302699007(465/2689) --- Time elapsed: 120.599 secs
Read EPC: 13370302698e42, 4
Read EPC: 13370302698e42, 3
Read EPC: 13370302698e42, 4
Read EPC: 13370302698e42, 4
Read EPC: 13370302698e42, 4
Read EPC: 13370302698e42, 4
Read EPC: 13370302698e42, 4
Read EPC: 13370302698e42, 3
Read EPC: 13370302698e42, 4
Read EPC: 13370302698e42, 3
Read EPC: 13370302698e42, 3
Read EPC: 13370302698e42, 4
Read EPC: 13370302699007, 4
Next block: 0302699205(466/2689) --- Time elapsed: 120.869 secs
Read EPC: 13370302699007, 4
Read EPC: 13370302699007, 4
Read EPC: 13370302699007, 4
Read EPC: 13370302699007, 4
Read EPC: 13370302699007, 4
Read EPC: 13370302699007, 4
Read EPC: 13370302699007, 4
Read EPC: 13370302699007, 4
Read EPC: 13370302699007, 4
Read EPC: 13370302699007, 4
Read EPC: 13370302699007, 4
Read EPC: 13370302699007, 4
Read EPC: 13370302699007, 4
Read EPC: 13370302699007, 4
Read EPC: 13370302699205, 3
Next block: 030269945a(467/2689) --- Time elapsed: 121.119 secs
Read EPC: 13370302699205, 0
Read EPC: 13370302699205, 4
Read EPC: 13370302699205, 4
Read EPC: 13370302699205, 4
Read EPC: 13370302699205, 4
Read EPC: 13370302699205, 4
Read EPC: 13370302699205, 0
Read EPC: 13370302699205, 4
Read EPC: 13370302699205, 4
Read EPC: 13370302699205, 4
Read EPC: 13370302699205, 4
Read EPC: 1337030269945a, 4
Next block: 030269964a(468/2689) --- Time elapsed: 121.409 secs
Read EPC: 1337030269945a, 4
Read EPC: 1337030269945a, 4
Read EPC: 1337030269945a, 4
Read EPC: 1337030269945a, 0
Read EPC: 1337030269945a, 4
Read EPC: 1337030269945a, 4
Read EPC: 1337030269945a, 4
Read EPC: 1337030269945a, 4
Read EPC: 1337030269945a, 4
Read EPC: 1337030269945a, 4
Read EPC: 1337030269945a, 0
Read EPC: 1337030269945a, 1
Read EPC: 1337030269945a, 4
Read EPC: 1337030269945a, 4
Read EPC: 1337030269964a, 4
Next block: 030269984c(469/2689) --- Time elapsed: 121.660 secs
Read EPC: 1337030269964a, 4
Read EPC: 1337030269964a, 4
Read EPC: 1337030269964a, 4
Read EPC: 1337030269964a, 4
Read EPC: 1337030269964a, 0
Read EPC: 1337030269964a, 4
Read EPC: 1337030269964a, 4
Read EPC: 1337030269964a, 4
Read EPC: 1337030269964a, 4
Read EPC: 1337030269964a, 4
Read EPC: 1337030269964a, 4
Read EPC: 1337030269964a, 4
Read EPC: 1337030269964a, 4
Read EPC: 1337030269964a, 4
Read EPC: 1337030269984c, 4
Next block: 0302699a57(470/2689) --- Time elapsed: 121.919 secs
Read EPC: 1337030269984c, 4
Read EPC: 1337030269984c, 4
Read EPC: 1337030269984c, 4
Read EPC: 1337030269984c, 4
Read EPC: 1337030269984c, 4
Read EPC: 1337030269984c, 4
Read EPC: 1337030269984c, 4
Read EPC: 1337030269984c, 4
Read EPC: 1337030269984c, 3
Read EPC: 1337030269984c, 4
Read EPC: 1337030269984c, 4
Read EPC: 1337030269984c, 4
Read EPC: 1337030269984c, 4
Read EPC: 1337030269984c, 4
Read EPC: 13370302699a57, 4
Next block: 0302699c25(471/2689) --- Time elapsed: 122.169 secs
Read EPC: 13370302699a57, 4
Read EPC: 13370302699a57, 4
Read EPC: 13370302699a57, 4
Read EPC: 13370302699a57, 4
Read EPC: 13370302699a57, 4
Read EPC: 13370302699a57, 4
Read EPC: 13370302699a57, 4
Read EPC: 13370302699a57, 4
Read EPC: 13370302699a57, 4
Read EPC: 13370302699a57, 4
Read EPC: 13370302699a57, 4
Read EPC: 13370302699a57, 4
Read EPC: 13370302699a57, 4
Read EPC: 13370302699a57, 4
Read EPC: 13370302699c25, 4
Next block: 0302699e16(472/2689) --- Time elapsed: 122.439 secs
Read EPC: 13370302699c25, 4
Read EPC: 13370302699c25, 4
Read EPC: 13370302699c25, 4
Read EPC: 13370302699c25, 4
Read EPC: 13370302699c25, 4
Read EPC: 13370302699c25, 4
Read EPC: 13370302699c25, 4
Read EPC: 13370302699c25, 4
Read EPC: 13370302699c25, 4
Read EPC: 13370302699c25, 4
Read EPC: 13370302699c25, 4
Read EPC: 13370302699c25, 4
Read EPC: 13370302699c25, 4
Read EPC: 13370302699c25, 4
Read EPC: 13370302699e16, 4
Next block: 030269a013(473/2689) --- Time elapsed: 122.689 secs
Read EPC: 13370302699e16, 4
Read EPC: 13370302699e16, 4
Read EPC: 13370302699e16, 4
Read EPC: 13370302699e16, 4
Read EPC: 13370302699e16, 4
Read EPC: 13370302699e16, 4
Read EPC: 13370302699e16, 4
Read EPC: 13370302699e16, 4
Read EPC: 13370302699e16, 4
Read EPC: 13370302699e16, 4
Read EPC: 13370302699e16, 4
Read EPC: 13370302699e16, 4
Read EPC: 13370302699e16, 4
Read EPC: 13370302699e16, 4
Read EPC: 1337030269a013, 4
Next block: 030269a2fd(474/2689) --- Time elapsed: 122.959 secs
Read EPC: 1337030269a013, 4
Read EPC: 1337030269a013, 4
Read EPC: 1337030269a013, 4
Read EPC: 1337030269a013, 4
Read EPC: 1337030269a013, 1
Read EPC: 1337030269a013, 4
Read EPC: 1337030269a013, 4
Read EPC: 1337030269a013, 4
Read EPC: 1337030269a013, 4
Read EPC: 1337030269a013, 4
Read EPC: 1337030269a013, 4
Read EPC: 1337030269a013, 4
Read EPC: 1337030269a013, 4
Read EPC: 1337030269a013, 2
Read EPC: 1337030269a013, 4
Read EPC: 1337030269a2fd, 4
Next block: 030269a458(475/2689) --- Time elapsed: 123.215 secs
Read EPC: 1337030269a2fd, 4
Read EPC: 1337030269a2fd, 4
Read EPC: 1337030269a2fd, 2
Read EPC: 1337030269a2fd, 4
Read EPC: 1337030269a2fd, 4
Read EPC: 1337030269a2fd, 4
Read EPC: 1337030269a2fd, 4
Read EPC: 1337030269a2fd, 0
Read EPC: 1337030269a2fd, 4
Read EPC: 1337030269a2fd, 4
Read EPC: 1337030269a2fd, 4
Read EPC: 1337030269a458, 3
Next block: 030269a65a(476/2689) --- Time elapsed: 123.479 secs
Read EPC: 1337030269a458, 4
Read EPC: 1337030269a458, 4
Read EPC: 1337030269a458, 4
Read EPC: 1337030269a458, 4
Read EPC: 1337030269a458, 4
Read EPC: 1337030269a458, 4
Read EPC: 1337030269a458, 4
Read EPC: 1337030269a458, 4
Read EPC: 1337030269a458, 4
Read EPC: 1337030269a458, 4
Read EPC: 1337030269a458, 4
Read EPC: 1337030269a458, 3
Read EPC: 1337030269a458, 4
Read EPC: 1337030269a458, 4
Read EPC: 1337030269a65a, 4
Next block: 030269a85c(477/2689) --- Time elapsed: 123.729 secs
Read EPC: 1337030269a65a, 4
Read EPC: 1337030269a65a, 4
Read EPC: 1337030269a65a, 4
Read EPC: 1337030269a65a, 1
Read EPC: 1337030269a65a, 4
Read EPC: 1337030269a65a, 4
Read EPC: 1337030269a65a, 4
Read EPC: 1337030269a65a, 4
Read EPC: 1337030269a65a, 4
Read EPC: 1337030269a65a, 4
Read EPC: 1337030269a65a, 4
Read EPC: 1337030269a65a, 4
Read EPC: 1337030269a65a, 4
Read EPC: 1337030269a65a, 4
Read EPC: 1337030269a85c, 4
Next block: 030269aa5e(478/2689) --- Time elapsed: 123.989 secs
Read EPC: 1337030269a85c, 4
Read EPC: 1337030269a85c, 4
Read EPC: 1337030269a85c, 4
Read EPC: 1337030269a85c, 3
Read EPC: 1337030269a85c, 4
Read EPC: 1337030269a85c, 2
Read EPC: 1337030269a85c, 1
Read EPC: 1337030269a85c, 4
Read EPC: 1337030269a85c, 4
Read EPC: 1337030269a85c, 4
Read EPC: 1337030269a85c, 4
Read EPC: 1337030269aa5e, 4
Next block: 030269ac23(479/2689) --- Time elapsed: 124.239 secs
Read EPC: 1337030269aa5e, 4
Read EPC: 1337030269aa5e, 4
Read EPC: 1337030269aa5e, 4
Read EPC: 1337030269aa5e, 4
Read EPC: 1337030269aa5e, 4
Read EPC: 1337030269aa5e, 4
Read EPC: 1337030269aa5e, 4
Read EPC: 1337030269aa5e, 4
Read EPC: 1337030269aa5e, 4
Read EPC: 1337030269aa5e, 4
Read EPC: 1337030269aa5e, 4
Read EPC: 1337030269aa5e, 4
Read EPC: 1337030269aa5e, 4
Read EPC: 1337030269aa5e, 4
Read EPC: 1337030269ac23, 3
Next block: 030269ae21(480/2689) --- Time elapsed: 124.509 secs
Read EPC: 1337030269ac23, 0
Read EPC: 1337030269ac23, 4
Read EPC: 1337030269ac23, 4
Read EPC: 1337030269ac23, 4
Read EPC: 1337030269ac23, 4
Read EPC: 1337030269ac23, 1
Read EPC: 1337030269ac23, 1
Read EPC: 1337030269ac23, 4
Read EPC: 1337030269ac23, 4
Read EPC: 1337030269ac23, 3
Read EPC: 1337030269ac23, 4
Read EPC: 1337030269ae21, 4
Next block: 030269b076(481/2689) --- Time elapsed: 124.759 secs
Read EPC: 1337030269ae21, 0
Read EPC: 1337030269ae21, 4
Read EPC: 1337030269ae21, 4
Read EPC: 1337030269ae21, 4
Read EPC: 1337030269ae21, 4
Read EPC: 1337030269ae21, 4
Read EPC: 1337030269ae21, 4
Read EPC: 1337030269ae21, 4
Read EPC: 1337030269ae21, 0
Read EPC: 1337030269ae21, 4
Read EPC: 1337030269ae21, 4
Read EPC: 1337030269ae21, 4
Read EPC: 1337030269ae21, 4
Read EPC: 1337030269ae21, 4
Read EPC: 1337030269b076, 4
Next block: 030269b266(482/2689) --- Time elapsed: 125.029 secs
Read EPC: 1337030269b076, 4
Read EPC: 1337030269b076, 4
Read EPC: 1337030269b076, 4
Read EPC: 1337030269b076, 4
Read EPC: 1337030269b076, 4
Read EPC: 1337030269b076, 4
Read EPC: 1337030269b076, 4
Read EPC: 1337030269b076, 4
Read EPC: 1337030269b076, 4
Read EPC: 1337030269b076, 0
Read EPC: 1337030269b076, 4
Read EPC: 1337030269b076, 4
Read EPC: 1337030269b076, 3
Read EPC: 1337030269b076, 4
Read EPC: 1337030269b266, 4
Next block: 030269b468(483/2689) --- Time elapsed: 125.280 secs
Read EPC: 1337030269b266, 4
Read EPC: 1337030269b266, 4
Read EPC: 1337030269b266, 4
Read EPC: 1337030269b266, 3
Read EPC: 1337030269b266, 4
Read EPC: 1337030269b266, 2
Read EPC: 1337030269b266, 4
Read EPC: 1337030269b266, 4
Read EPC: 1337030269b266, 4
Read EPC: 1337030269b266, 4
Read EPC: 1337030269b266, 3
Read EPC: 1337030269b266, 4
Read EPC: 1337030269b468, 4
Next block: 030269b673(484/2689) --- Time elapsed: 125.539 secs
Read EPC: 1337030269b468, 4
Read EPC: 1337030269b468, 4
Read EPC: 1337030269b468, 4
Read EPC: 1337030269b468, 4
Read EPC: 1337030269b468, 4
Read EPC: 1337030269b468, 4
Read EPC: 1337030269b468, 4
Read EPC: 1337030269b468, 4
Read EPC: 1337030269b468, 2
Read EPC: 1337030269b468, 4
Read EPC: 1337030269b468, 4
Read EPC: 1337030269b468, 4
Read EPC: 1337030269b468, 4
Read EPC: 1337030269b468, 4
Read EPC: 1337030269b673, 4
Next block: 030269b841(485/2689) --- Time elapsed: 125.790 secs
Read EPC: 1337030269b673, 3
Read EPC: 1337030269b673, 4
Read EPC: 1337030269b673, 4
Read EPC: 1337030269b673, 4
Read EPC: 1337030269b673, 4
Read EPC: 1337030269b673, 4
Read EPC: 1337030269b673, 4
Read EPC: 1337030269b673, 4
Read EPC: 1337030269b673, 4
Read EPC: 1337030269b673, 4
Read EPC: 1337030269b673, 4
Read EPC: 1337030269b673, 4
Read EPC: 1337030269b673, 4
Read EPC: 1337030269b673, 4
Read EPC: 1337030269b841, 4
Next block: 030269ba32(486/2689) --- Time elapsed: 126.059 secs
Read EPC: 1337030269b841, 4
Read EPC: 1337030269b841, 4
Read EPC: 1337030269b841, 4
Read EPC: 1337030269b841, 4
Read EPC: 1337030269b841, 4
Read EPC: 1337030269b841, 4
Read EPC: 1337030269b841, 4
Read EPC: 1337030269b841, 4
Read EPC: 1337030269b841, 4
Read EPC: 1337030269b841, 4
Read EPC: 1337030269b841, 4
Read EPC: 1337030269b841, 4
Read EPC: 1337030269b841, 4
Read EPC: 1337030269b841, 4
Read EPC: 1337030269ba32, 4
Next block: 030269bc2f(487/2689) --- Time elapsed: 126.309 secs
Read EPC: 1337030269ba32, 4
Read EPC: 1337030269ba32, 4
Read EPC: 1337030269ba32, 4
Read EPC: 1337030269ba32, 4
Read EPC: 1337030269ba32, 3
Read EPC: 1337030269ba32, 1
Read EPC: 1337030269ba32, 4
Read EPC: 1337030269ba32, 4
Read EPC: 1337030269ba32, 4
Read EPC: 1337030269ba32, 4
Read EPC: 1337030269ba32, 4
Read EPC: 1337030269ba32, 4
Read EPC: 1337030269ba32, 4
Read EPC: 1337030269ba32, 4
Read EPC: 1337030269bc2f, 4
Next block: 030269be19(488/2689) --- Time elapsed: 126.579 secs
Read EPC: 1337030269bc2f, 4
Read EPC: 1337030269bc2f, 4
Read EPC: 1337030269bc2f, 4
Read EPC: 1337030269bc2f, 4
Read EPC: 1337030269bc2f, 4
Read EPC: 1337030269bc2f, 4
Read EPC: 1337030269bc2f, 4
Read EPC: 1337030269bc2f, 4
Read EPC: 1337030269bc2f, 4
Read EPC: 1337030269bc2f, 3
Read EPC: 1337030269bc2f, 4
Read EPC: 1337030269bc2f, 4
Read EPC: 1337030269bc2f, 4
Read EPC: 1337030269bc2f, 4
Read EPC: 1337030269be19, 4
Next block: 030269c0ce(489/2689) --- Time elapsed: 126.829 secs
Read EPC: 1337030269be19, 4
Read EPC: 1337030269be19, 4
Read EPC: 1337030269be19, 4
Read EPC: 1337030269be19, 4
Read EPC: 1337030269be19, 4
Read EPC: 1337030269be19, 4
Read EPC: 1337030269be19, 4
Read EPC: 1337030269be19, 4
Read EPC: 1337030269be19, 4
Read EPC: 1337030269be19, 3
Read EPC: 1337030269be19, 4
Read EPC: 1337030269be19, 4
Read EPC: 1337030269be19, 4
Read EPC: 1337030269be19, 4
Read EPC: 1337030269c0ce, 4
Next block: 030269c210(490/2689) --- Time elapsed: 127.099 secs
Read EPC: 1337030269c0ce, 4
Read EPC: 1337030269c0ce, 4
Read EPC: 1337030269c0ce, 1
Read EPC: 1337030269c0ce, 4
Read EPC: 1337030269c0ce, 4
Read EPC: 1337030269c0ce, 2
Read EPC: 1337030269c0ce, 4
Read EPC: 1337030269c0ce, 4
Read EPC: 1337030269c0ce, 4
Read EPC: 1337030269c0ce, 4
Read EPC: 1337030269c0ce, 4
Read EPC: 1337030269c0ce, 4
Read EPC: 1337030269c0ce, 4
Read EPC: 1337030269c0ce, 4
Read EPC: 1337030269c210, 1
Next block: 030269c481(491/2689) --- Time elapsed: 127.350 secs
Read EPC: 1337030269c210, 4
Read EPC: 1337030269c210, 4
Read EPC: 1337030269c210, 4
Read EPC: 1337030269c210, 4
Read EPC: 1337030269c210, 1
Read EPC: 1337030269c210, 4
Read EPC: 1337030269c210, 4
Read EPC: 1337030269c210, 4
Read EPC: 1337030269c210, 4
Read EPC: 1337030269c210, 4
Read EPC: 1337030269c210, 4
Read EPC: 1337030269c210, 4
Read EPC: 1337030269c210, 4
Read EPC: 1337030269c210, 4
Read EPC: 1337030269c481, 4
Next block: 030269c67a(492/2689) --- Time elapsed: 127.609 secs
Read EPC: 1337030269c481, 4
Read EPC: 1337030269c481, 4
Read EPC: 1337030269c481, 2
Read EPC: 1337030269c481, 4
Read EPC: 1337030269c481, 4
Read EPC: 1337030269c481, 4
Read EPC: 1337030269c481, 4
Read EPC: 1337030269c481, 4
Read EPC: 1337030269c481, 4
Read EPC: 1337030269c481, 4
Read EPC: 1337030269c481, 4
Read EPC: 1337030269c481, 4
Read EPC: 1337030269c481, 4
Read EPC: 1337030269c481, 1
Read EPC: 1337030269c481, 0
Read EPC: 1337030269c481, 4
Read EPC: 1337030269c67a, 4
Next block: 030269c83f(493/2689) --- Time elapsed: 127.871 secs
Read EPC: 1337030269c67a, 4
Read EPC: 1337030269c67a, 4
Read EPC: 1337030269c67a, 0
Read EPC: 1337030269c67a, 4
Read EPC: 1337030269c67a, 4
Read EPC: 1337030269c67a, 4
Read EPC: 1337030269c67a, 4
Read EPC: 1337030269c67a, 4
Read EPC: 1337030269c67a, 4
Read EPC: 1337030269c83f, 4
Next block: 030269ca3d(494/2689) --- Time elapsed: 128.119 secs
Read EPC: 1337030269c83f, 4
Read EPC: 1337030269c83f, 4
Read EPC: 1337030269c83f, 4
Read EPC: 1337030269c83f, 4
Read EPC: 1337030269c83f, 3
Read EPC: 1337030269c83f, 4
Read EPC: 1337030269c83f, 4
Read EPC: 1337030269c83f, 4
Read EPC: 1337030269c83f, 4
Read EPC: 1337030269c83f, 4
Read EPC: 1337030269c83f, 4
Read EPC: 1337030269c83f, 4
Read EPC: 1337030269c83f, 4
Read EPC: 1337030269c83f, 4
Read EPC: 1337030269ca3d, 4
Next block: 030269ccef(495/2689) --- Time elapsed: 128.370 secs
Read EPC: 1337030269ca3d, 4
Read EPC: 1337030269ca3d, 4
Read EPC: 1337030269ca3d, 4
Read EPC: 1337030269ca3d, 4
Read EPC: 1337030269ca3d, 4
Read EPC: 1337030269ca3d, 4
Read EPC: 1337030269ca3d, 4
Read EPC: 1337030269ca3d, 4
Read EPC: 1337030269ca3d, 4
Read EPC: 1337030269ca3d, 4
Read EPC: 1337030269ca3d, 4
Read EPC: 1337030269ca3d, 4
Read EPC: 1337030269ca3d, 4
Read EPC: 1337030269ca3d, 4
Read EPC: 1337030269ccef, 4
Next block: 030269ce82(496/2689) --- Time elapsed: 128.629 secs
Read EPC: 1337030269ccef, 2
Read EPC: 1337030269ccef, 4
Read EPC: 1337030269ccef, 4
Read EPC: 1337030269ccef, 4
Read EPC: 1337030269ccef, 4
Read EPC: 1337030269ccef, 4
Read EPC: 1337030269ccef, 4
Read EPC: 1337030269ccef, 4
Read EPC: 1337030269ccef, 4
Read EPC: 1337030269ccef, 0
Read EPC: 1337030269ccef, 4
Read EPC: 1337030269ccef, 1
Read EPC: 1337030269ccef, 4
Read EPC: 1337030269ccef, 0
Read EPC: 1337030269ccef, 4
Read EPC: 1337030269ce82, 4
Next block: 030269d08d(497/2689) --- Time elapsed: 128.895 secs
Read EPC: 1337030269ce82, 4
Read EPC: 1337030269ce82, 4
Read EPC: 1337030269ce82, 4
Read EPC: 1337030269ce82, 4
Read EPC: 1337030269ce82, 4
Read EPC: 1337030269ce82, 4
Read EPC: 1337030269ce82, 4
Read EPC: 1337030269ce82, 4
Read EPC: 1337030269ce82, 4
Read EPC: 1337030269ce82, 4
Read EPC: 1337030269ce82, 4
Read EPC: 1337030269ce82, 4
Read EPC: 1337030269ce82, 4
Read EPC: 1337030269d08d, 4
Next block: 030269d25b(498/2689) --- Time elapsed: 129.159 secs
Read EPC: 1337030269d08d, 4
Read EPC: 1337030269d08d, 4
Read EPC: 1337030269d08d, 4
Read EPC: 1337030269d08d, 4
Read EPC: 1337030269d08d, 4
Read EPC: 1337030269d08d, 4
Read EPC: 1337030269d08d, 4
Read EPC: 1337030269d08d, 4
Read EPC: 1337030269d08d, 4
Read EPC: 1337030269d08d, 4
Read EPC: 1337030269d08d, 4
Read EPC: 1337030269d08d, 4
Read EPC: 1337030269d08d, 4
Read EPC: 1337030269d08d, 4
Read EPC: 1337030269d25b, 4
Next block: 030269d44c(499/2689) --- Time elapsed: 129.409 secs
Read EPC: 1337030269d25b, 4
Read EPC: 1337030269d25b, 4
Read EPC: 1337030269d25b, 4
Read EPC: 1337030269d25b, 4
Read EPC: 1337030269d25b, 4
Read EPC: 1337030269d25b, 4
Read EPC: 1337030269d25b, 3
Read EPC: 1337030269d25b, 4
Read EPC: 1337030269d25b, 4
Read EPC: 1337030269d25b, 4
Read EPC: 1337030269d25b, 4
Read EPC: 1337030269d25b, 2
Read EPC: 1337030269d25b, 4
Read EPC: 1337030269d25b, 4
Read EPC: 1337030269d44c, 4
Next block: 030269d649(500/2689) --- Time elapsed: 129.679 secs
Read EPC: 1337030269d44c, 4
Read EPC: 1337030269d44c, 0
Read EPC: 1337030269d44c, 4
Read EPC: 1337030269d44c, 4
Read EPC: 1337030269d44c, 4
Read EPC: 1337030269d44c, 4
Read EPC: 1337030269d44c, 3
Read EPC: 1337030269d44c, 1
Read EPC: 1337030269d44c, 4
